Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Peugeot || ﻮﺠﻴﺑ,3008,2012,153000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﻃﺎﻨﻘﻟﺍ ﻦﻴﺒﺷ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,720000,2025-04-18
Chery || ﻯﺮﻴﺷ,Tiggo 7 || 7 ﻮﺠﻴﺗ,2021,27000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺝﺎﻫﻮﺳ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,885000,2025-04-18
Renault || ﻮﻨﻳﺭ,Kadjar || ﺭﺎﺟﺩﺎﻛ,2020,104000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻴﺑﺮﻐﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1000000,2025-04-18
Mazda || ﺍﺩﺯﺎﻣ,323,1982,86653,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺎﻀﻣﺭ ﻦﻣ ﺮﺷﺎﻌﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,531420,2025-04-18
Kia || ﺎﻴﻛ,Soul || ﻝﻮﺳ,2015,70000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻢﻄﻘﻤﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,925000,2025-04-18
Lada || ﺍﺩﻻ,2107,2013,70000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻴﺑﺮﻐﻟﺍ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,160000,2025-04-18
Skoda || ﺍﺩﻮﻜﺳ,A4 || Octavia A4 ﺎﻴﻓﺎﺘﻛﻭﺍ,2008,19000,ﻝﺍﻮﻴﻧﺎﻣ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,375000,2025-04-18
Volkswagen || ﻦﻏﺎﻓ ﺲﻜﻟﻮﻓ,Passat || ﺕﺎﺳﺎﺑ,2012,180000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,1000000,2025-04-18
Geely || ﻲﻠﻴﺟ,Emgrand 7 || 7 ﺪﻧﺍﺮﺠﻣﺍ,2015,250000,ﻝﺍﻮﻴﻧﺎﻣ,ﺓﺮﻫﺎﻘﻟﺍ,ﻥﺎﺒﻤﺷ,ﻦﻳﺰﻨﺑ,285000,2025-04-18
Renault || ﻮﻨﻳﺭ,Logan || ﻥﺎﺟﻮﻟ,2015,146000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,354000,2025-04-18
Kia || ﺎﻴﻛ,Picanto || ﻮﺘﻧﺎﻜﻴﺑ,2006,225000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺍﺮﺒﺷ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,340000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,T-Series || ﺕ ﺔﺌﻔﻟﺍ ﺔﺑﺎﺑﺪﻟﺍ,2022,95392,ﻝﺍﻮﻴﻧﺎﻣ,ﺪﻴﻌﺳﺭﻮﺑ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,1050000,2025-04-18
